,Covidence #,Study ID,Title,Reviewer Name,Title,"Author, Year",Study Design,Population description,Geographic location,Focused on a vulnerable population?,Health categories,Climate categories,Policy/Intervention Level,3 Words about Policy/Intervention,Data Sources,Notes
,10222,Olayinka 2019,Impact of hurricanes on mental health,Consensus,Impact of hurricanes on mental health,Olayinka 2019,Other: book chapter,,USA,No,Mental health,Storm; Other: hurricanes,None,-,,Common mental disorders and popular screening instruments that are available for rapid mental health assessment of a population affected by a hurricane are described. 
Global and no specific indicators,8716,Fears 2024,Climate action for health: Inter-regional engagement to share knowledge to guide mitigation and adaptation actions,Consensus,Climate action for health: Inter-regional engagement to share knowledge to guide mitigation and adaptation actions,"Fears, 2023",Other: Policy Recommendation,,Global,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm,Federal,Climate mitigation and adaptation for health,,Provides federal level country recommendations.
couldn�t access,8613,Wellenius 2019,The US Government Just Published a New Report Detailing the Impacts of Climate Change on Americans: Does it Matter?,Consensus,The US Government Just Published a New Report Detailing the Impacts of Climate Change on Americans Does it Matter?,"Wellenius, 2019",Editorial comment piece,US,US,No,,,Federal,,,"""while we have increasingly precise projections of the adverse health consequences of future heat stress, evidence-based strategies to protect vulnerable populations are still largely lacking. As an additional example, while widely understood to be one of the areas of greatest impact, the consequences of climate change on mental health and well-being (e.g., via displacement, loss, or repeated exposure to climate hazards) over both the short term and long term remains an area that is poorly explored."""
,7015,Hassan 2022,UNDERSTANDING BARRIERS AND FACILITATORS TO NATURAL DISASTER PREPAREDNESS IN FEDERALLY QUALIFIED HEALTH CENTERS IN THE US: A MIXED METHODS STUDY,Consensus,UNDERSTANDING BARRIERS AND FACILITATORS TO NATURAL DISASTER PREPAREDNESS IN FEDERALLY QUALIFIED HEALTH CENTERS IN THE US: A MIXED METHODS STUDY,Hassan 2022,Research study,employees at 2 Federally Qualified Health Centers,PR & USVI,No,Cardiovascular; Mental health,Other: disaster,Federal,strengthening the capacity of FQHCs to address the needs of their patients with NCDs in disasters.,,"(1) significant gaps in confidence and preparedness of employees with a need for more training; (2) challenges faced by persons with multiple NCDs, especially cardiovascular and mental health
disorders; and (3) most clinicians do not discuss disaster preparedness with patients"
,9964,Cherry 2020,"Assessing mental health after a disaster: Flood exposure, recovery stressors, and prior flood experience",Consensus,"Assessing Mental Health After a Disaster: Flood Exposure, Recovery Stressors, and Prior Flood Experience","Cherry, 2020",Other: Book chapter,Those impacted by 2016 floods in Louisiana,US,No,Mental health,Flood,None,,,Demonstrates flooding experience is a significant predictor of current mental health status.
,6563,Glicksman 2023,Protecting the Public Health with the Inflation Reduction Act - Provisions Affecting Climate Change and Its Health Effects,Consensus,Protecting the Public Health with the Inflation Reduction Act Provisions Affecting Climate Change and Its Health Effects,"Robert L. Glicksman, 2023",Editorial comment piece,,United States,No,Pulmonary; Mental health,Fire; Air quality,Federal,Challenges in attribution ,,
,9944,Appel 2021,Positive Emotional Traits and Coping Related to Depression in the Aftermath of Category 5 Hurricanes,Consensus,Positive Emotional Traits and Coping Related to Depression in the Aftermath of Category 5 Hurricanes,"Appel, 2021",Research study,566 Florida residents directly impacted by Hurricanes Maria and Michael,United States,No,Mental health,Storm,None,"Cross-sectional study on correlates between feelings about the hurricanes, coping strategies, and depression.",Cross-sectional data collected for this study ,Demonstrates that negative feelings and coping around the hurricanes were associated with depression and vice versa.
,9917,Saunders 2021,Emergency mental health calls to first responders following a natural disaster: Examining the effects from Hurricane Harvey,Consensus,Emergency mental health calls to first responders following a natural disaster: Examining the effects from Hurricane Harvey,"Saunders, 2021",Research study,,Houston,No,Mental health,Storm,None,,,statistically significant increase in the number of mental health calls to the police following Hurricane Harvey; there was not a statistically significant difference in the number of EDOs or the number of EMS mental health calls.
,6246,Kline 2023,Climate change impacts on children's respiratory health,Consensus,Climate change impacts on children's respiratory health,Kline 2023,Systematic review,children,Stanford United States,Children,Pulmonary,"Heat; Air quality; Other:  temperature, humidity, air pollution, and extreme weather events",Federal,adaptation strategies are necessary to protect children from the harmful effects of climate change,,adaptation strategies are necessary to protect children from the harmful effects of climate change
,9735,Odimayomi 2021,"Water safety attitudes, risk perception, experiences, and education for households impacted by the 2018 Camp Fire, California",Consensus,"Water safety attitudes, risk perception, experiences, and education for households impacted by the 2018 Camp Fire, California","Tolulope, 2021",Research study,community members who lived in or owned homes in Butte County six months after the Camp Fire,California,No,Mental health,Water contamination,None,none,,"Households sometimes contacted multiple local, state, and federal agencies for water safety advice, as well as their friends, community groups, and private companies. When respondents were asked to grade information quality from organizations, the grades for water providers, county, state, and federal agencies never exceeded 2.83 (i.e., a grade of a C +) on a scale of 0 to 4 [4 = A, 3 = B, 2 = C, 1 = D, and 0 = F].
 Communication was rated based on (1) clarity, (2) helpfulness, and (3) trustworthiness. 

Both PID and DOWC received the highest ratings for all three criteria, followed by the county government, state government, and the federal government (Fig. 3). 
Households were more aware of drinking water contamination statements released by local agencies (BCHD and PID ) compared to that of the SWRCB, the state drinking water primacy agency,"
