Author,Title,Paper Type,Population,Location,Vulnerable,Health Impact,Climate Exposure,Policy Intervention type,Intervention Details,Data Sources,Notes
Glicksman 2023,Protecting the Public Health with the Inflation Reduction Act - Provisions Affecting Climate Change and Its Health Effects,Editorial comment piece,,US,No,Pulmonary; Mental health,Fire; Air quality,Federal,Challenges in attribution ,,
Bansal 2023,Heatwaves and wildfires suffocate our healthy start to life: time to assess impact and take action.,Editorial comment piece,,US,Children; Pregnant persons/ people of childbearing age,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Fire,Federal,Effect of heatwaves on pregnant people,,pregnant people and infants are important vulnerable groups tp focus on while discussing climate change. Knowing the effects of increasing temperatures would better inform the framework
,"Crimmins A, Balbus J, Gamble L, Beard CB, Bell JE, Dodgen D, Eisen RJ, Fann N, Hawkins MD, Herring SC, Jantarasami L, Mills DM, Saha S, Sarofim MC, Trtanj J, Ziska L (2016) The impacts of climate change on human health in the United States: a scientific a",Government paper or tool,US,US,Children; Pregnant persons/ people of childbearing age; Elderly ; Workers; Indigenous community member; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health; Other: vector-borne disease,Heat; Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,Federal,Federal Impact Assessment,U.S Global Change Research Program,"The report documents climate change related impacts and responses for 
various sectors and regions, with the goal of better informing public and private 
decision making at all levels"
Fears 2024,Climate action for health: Inter-regional engagement to share knowledge to guide mitigation and adaptation actions,Other: Policy Recommendation,,Global,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm,Federal,Climate mitigation and adaptation for health,,Provides federal level country recommendations.
Zangerl 2024,Child health prioritisation in national adaptation policies on climate change: a policy document analysis across 160 countries.,Other: Policy analysis,Children,Global/160 countries,Children,Cardiovascular; Pulmonary; Mental health,Heat; Storm,Federal,Climate change policy,,Shows climate change policies typically do not include enough provision for children and underestimate the effects of climate change on children.
Weinstein 2024,Climate change adaptation must not replicate lockdown scenarios.,Editorial comment piece,,Global,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm; Air quality,Federal,Policy for sustainable green space for health,,Provides climate change mitigation plans that are not reliant on people staying in lockdown procedures similar to COVID-19. 
Hassan 2022,UNDERSTANDING BARRIERS AND FACILITATORS TO NATURAL DISASTER PREPAREDNESS IN FEDERALLY QUALIFIED HEALTH CENTERS IN THE US: A MIXED METHODS STUDY,Research study,employees at 2 Federally Qualified Health Centers,PR & USVI,No,Cardiovascular; Mental health,Other: disaster,Federal,strengthening the capacity of FQHCs to address the needs of their patients with NCDs in disasters.,,"(1) significant gaps in confidence and preparedness of employees with a need for more training; (2) challenges faced by persons with multiple NCDs, especially cardiovascular and mental health
disorders; and (3) most clinicians do not discuss disaster preparedness with patients"
Bell 2022,Hospitalizations for chronic conditions following hurricanes among older adults: A self-controlled case series analysis.,Research study,Older Adults,US,Elderly ,Cardiovascular; Pulmonary; Mental health,Storm,Federal,,combination of administrative healthcare data and the Federal Emergency Management Agency's Disaster Declaration database,Associations between natural disasters and increased hospitalizations for chronic conditions in elderly 
Berberian 2024,Children’s health impacts from a proposed decarbonization policy in the transportation sector in the Eastern United States,Research study,Children,"US/Canada 12 participating Northeast and Mid-Atlantic US states and the District of Columbia:Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington DC",Children,Pulmonary; Mental health,Air quality,Federal; State,," Georgetown Climate Center and all 13 jurisdictions participating, 2014–2018 US Census 5-year American Community Survey","Transportation decarbonization policy and its effect on childrens health, positive effects of carbon caps"
Zheng 2023,Exposure to wildfires and health outcomes of vulnerable people: Evidence from US data.,Research study,Individuals,US,No,Pulmonary; Mental health,Fire; Air quality,Federal; State,Wildfire Management,"National Vital Statistics System, Behavioural Risk Factor Surveillance System and FIRESTA",
McNamara 2024,"Mental Health, Climate Change, and Bodily Autonomy: An Analysis of Adolescent Health Policy in the Post-Pandemic Climate.",Systematic review,Adolescents,US,Children; Pregnant persons/ people of childbearing age; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health; Other: Vector-borne illness,Heat,Federal; State,,,
Berman 2021,The association between drought conditions and increased occupational psychosocial stress among U.S. farmers: An occupational cohort study.,Research study,498 Midwestern U.S. farmers,US/Midwestern,Workers,Mental health,Heat; Drought,Federal; State,federal drought early warning systems,Musculoskeletal Symptoms among Agricultural Workers Cohort study,"Association between drought and increased occupational psychosocial stress among farmers. With North American climate anticipated to become hotter and drier, these findings could provide important health effects data for federal drought early warning systems and mitigation plans."
Oranje 2024,A health financing policy agenda for climate mitigation and adaptation,Economic analysis,,,No,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Storm; Air quality,Federal; State,Mitigation and adaptation measures for health policy financing ,,Provides significant policy recommendations.
Civelek 2023,The effect of hurricanes on mental health over the long term.,Research study,Southern US Residents,US/Southern,No,Mental health,Storm,Federal; State,Call to action,Behavioral Risk Factor Surveillance System,"No specific policy/intervention stated, but does state that one is needed and backs it up with data."
Marlier 2023,Wildfire Smoke Exposures and Adult Health Outcomes,Systematic review,,Global,No,Cardiovascular; Pulmonary; Mental health,Fire; Air quality,Federal; State; Local,Multi-level approaches,,
Mao 2021,The Role of Social Determinants in Mental Health and Resilience After Disasters: Implications for Public Health Policy and Practice.,Systematic review,,Global ,Children; Elderly ; Socially-vulnerable (e.g. low wealth),Mental health,Flood; Drought; Storm; Fire; Air quality; Water contamination; Food contamination,Federal; State; Local,Cooperation among governments,"Google Scholar, PubMed, PsycINFO, SpringerLink, Taylor
& Francis Online, BioMed Central, and ScienceDirect.",
Ai 2023,Perceived spiritual support counteracts the traumatic impact of extreme disasters: Exploration of moderators.,Research study,Florida people impacted by Hurricanes Maria and Michael ,US,No,Mental health,Flood; Storm,Federal; State; Local,spiritual support,,perceived spiritual support impacted trauma
Anderson 2024,Race/ethnicity and worry about the threat of flooding: a mediation analysis of perceived risk versus preparedness,Research study,Houston Area Residents,"US/Houston, TX",Socially-vulnerable (e.g. low wealth),Mental health,Flood; Storm; Water contamination; Food contamination,Federal; State; Local,reduce risk vs preparing houses for flooding,"2022 Community Perceptions of Flood Mitigation Survey, 2017–2021 American Community Survey (ACS)",
Karthick 2022,Impact Analysis of Heat on Physical and Mental Health of Construction Workforce,Research study,100 construction workers who work in various sectors including transportation.,,Workers,"Mental health; Other: fatigue, level of hydration, and kidney disease",Heat,Federal; State; Local,"reaks, continuous hydration, sufficient cooling facilities, and acclimatization of workers",,"excessive heat affects workers both mentally (difficulty concentrating, irritableness, and frequent mood swings) and physically (fatigue, level of hydration, and kidney disease). Perspiration also plays a role in how a worker is impacted by the heat, as higher blood sugar levels and hypertension are more common among 
workers who perspire less"
Ebi 2021,Extreme Weather and Climate Change: Population Health and Health System Implications.,Editorial comment piece,N/A,US/ Global,No; Other: Speaks on multiple populations,Cardiovascular; Pulmonary; Mental health,Heat; Flood; Drought; Storm,Federal; State; Local,Multiple discussed on multiple levels,,
Levy 2024,"A human rights-based approach to climate injustices at the local, national, and international levels: Program and policy recommendations",Other: Policy recommendations,,,Socially-vulnerable (e.g. low wealth),Cardiovascular; Pulmonary; Mental health,Heat; Flood; Drought; Storm; Air quality,Federal; State; Local,"Climate literacy, disaggregated data collection and monitoring, and prevention",,"Provides human rights-based, climate injustice informed policy recommendations"
